,EXERCÍCIO,NOME FUNÇÃO,NOME SUBFUNÇÃO,ORÇAMENTO REALIZADO (R$)
5064,2014,Educação,Atenção básica,21246.31
5065,2014,Educação,Ensino superior,357131.64
5072,2014,Educação,Ensino superior,37880.05
5073,2014,Educação,Ensino superior,12634.33
5076,2014,Educação,Atenção básica,900.0
5078,2014,Educação,Atenção básica,15405.06
5083,2014,Educação,Ensino superior,205488.92
5084,2014,Educação,Ensino superior,90079.89
5086,2014,Educação,Atenção básica,355367.64
5087,2014,Educação,Ensino profissional,236016.71
5088,2014,Educação,Ensino profissional,2564.36
5089,2014,Educação,Ensino profissional,120294.33
5090,2014,Educação,Ensino profissional,550692.81
5096,2014,Educação,Ensino superior,480.0
5108,2014,Educação,Atenção básica,14295.0
5114,2014,Educação,Ensino superior,39410.73
5117,2014,Educação,Ensino superior,21473.46
5119,2014,Educação,Ensino profissional,9230.67
5123,2014,Educação,Ensino profissional,284869.93
5124,2014,Educação,Ensino profissional,49790.24
5125,2014,Educação,Ensino profissional,456127.64
5126,2014,Educação,Atenção básica,8468.25
5131,2014,Educação,Atenção básica,29238.39
5133,2014,Educação,Ensino superior,487932.12
5136,2014,Educação,Ensino superior,310694.22
5141,2014,Educação,Ensino superior,331460.58
5142,2014,Educação,Ensino superior,52048.12
5151,2014,Educação,Atenção básica,20396.92
5153,2014,Educação,Ensino superior,554251.48
5159,2014,Educação,Atenção básica,286648.39
5160,2014,Educação,Ensino superior,4093.36
5163,2014,Educação,Atenção básica,20829.42
5165,2014,Educação,Ensino superior,488776.43
5166,2014,Educação,Ensino superior,14324.13
5167,2014,Educação,Atenção básica,45038.68
5168,2014,Educação,Atenção básica,30400.0
5169,2014,Educação,Atenção básica,527157.67
5173,2014,Educação,Ensino superior,122023.38
5176,2014,Educação,Ensino superior,104560.88
5177,2014,Educação,Ensino superior,133254.72
5182,2014,Educação,Ensino superior,480042.09
5186,2014,Educação,Ensino superior,73829.98
5188,2014,Educação,Ensino profissional,2135.69
5190,2014,Educação,Ensino profissional,246954.85
5191,2014,Educação,Atenção básica,3673.21
5192,2014,Educação,Ensino profissional,104286.56
5193,2014,Educação,Ensino profissional,390314.18
5195,2014,Educação,Ensino profissional,390674.04
5199,2014,Educação,Ensino superior,149896.96
5201,2014,Educação,Ensino superior,6806.45
5202,2014,Educação,Ensino superior,332359.9
5207,2014,Educação,Ensino superior,112084.06
5209,2014,Educação,Ensino superior,684.0
5212,2014,Educação,Atenção básica,258.0
5216,2014,Educação,Ensino superior,144404.81
5217,2014,Educação,Ensino superior,307483.32
5221,2014,Educação,Ensino profissional,587258.38
